"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @LovUniverse: Please #help #donate #support #GermanShepherd #Animals #Dogs https://t.co/kO96UEYkpp",FALSE,0,NA,2019-02-25 18:52:25,FALSE,NA,"1100106259834028032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","righttospeak3",1,TRUE,FALSE,NA,NA
"2","#Odin stayed with his family's 8 goats through the #wildfires that raged around the family's house in #California i… https://t.co/vvDLOXeZwq",FALSE,0,NA,2019-02-25 18:52:20,TRUE,NA,"1100106236849283073",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","paulinepark",0,FALSE,FALSE,NA,NA
"3","RT @nowthatsbully: Who’s side are you on? #dogs #pets https://t.co/Y743YWznCd",FALSE,0,NA,2019-02-25 18:52:06,FALSE,NA,"1100106179173339137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","STROKJAVIC",159,TRUE,FALSE,NA,NA
"4","RT @Cory__1077: I just wanted to say a big THANK YOU to everyone today for all the kindness and support after my ludicrous suspension on he…",FALSE,0,NA,2019-02-25 18:52:01,FALSE,NA,"1100106157668982785",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DragonForce_One",513,TRUE,FALSE,NA,NA
"5","RT @nowthatsbully: Who’s side are you on? #dogs #pets https://t.co/Y743YWznCd",FALSE,0,NA,2019-02-25 18:51:55,FALSE,NA,"1100106133266669569",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jessiicaaxoxxo",159,TRUE,FALSE,NA,NA
"6","RT @Garfield: Can't we all just get along? #FridayThoughts #MakeLasagnaNotWar #catsofinstagram #dogs #cats https://t.co/fXUSuH67fV",FALSE,0,NA,2019-02-25 18:51:54,FALSE,NA,"1100106129487597568",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AScottishHowler",142,TRUE,FALSE,NA,NA
"7","#dogs LOST #Somerset WI,USA, German Shepherd/Purebred, Nov.22/18, https://t.co/F3l3TiFS41 @lostdogsofwisc",FALSE,0,NA,2019-02-25 18:51:51,FALSE,NA,"1100106117097480198",NA,"<a href=""http://www.helpinglostpets.com"" rel=""nofollow"">Helping Lost Pets Tweet Service</a>","HelpingLostPets",0,FALSE,FALSE,NA,NA
"8","RT @BellaInxs2: This is the Mom instinct !!!       #PuppyPower #puppies #love #dogs #animals ♥️🐶.    https://t.co/Bfj4TEZmLB",FALSE,0,NA,2019-02-25 18:51:27,FALSE,NA,"1100106013951307776",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","angelchorus1",1477,TRUE,FALSE,NA,NA
"9","RT @GiveLuckyBack: This #Tweeter makes a great suggestion!  Until the #NYCACC can come clean on Spay/Neuter/KIll &amp; pure kill of #Cats &amp; #Do…",FALSE,0,NA,2019-02-25 18:51:08,FALSE,NA,"1100105935236689920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lorrainemiller7",3,TRUE,FALSE,NA,NA
"10","RT @PetMunchies: #win #giveaway of #PetMunchies #natural #dog  #pet #treats  #dogtreats  #trainingtreats #training #dogs #competition #dogs…",FALSE,0,NA,2019-02-25 18:51:03,FALSE,NA,"1100105915804643328",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","leeronsmummy",123,TRUE,FALSE,NA,NA
"11","RT @BellaInxs2: This is the Mom instinct !!!       #PuppyPower #puppies #love #dogs #animals ♥️🐶.    https://t.co/Bfj4TEZmLB",FALSE,0,NA,2019-02-25 18:50:59,FALSE,NA,"1100105897219481602",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KrazeeCatLaydee",1477,TRUE,FALSE,NA,NA
"12","RT @GrouciDjamila: .@realDonaldTrump .@EmmanuelMacron .@KremlinRussia_E .@moonriver365 .@Pontifex .@theresa_may 
This is the miserable life…",FALSE,0,NA,2019-02-25 18:50:34,FALSE,NA,"1100105793490374656",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Linusthesheepie",49,TRUE,FALSE,NA,NA
"13","Please #help #donate #support #GermanShepherd #Animals #Dogs https://t.co/kO96UEYkpp",FALSE,1,NA,2019-02-25 18:50:27,FALSE,NA,"1100105761429114881",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LovUniverse",1,FALSE,FALSE,NA,NA
"14","RT @res_pet: Lots of exciting developments in the works for $LRSV ! #pet #dogs #cats #CBD #Hemp. We look forward to updating shareholders v…",FALSE,0,NA,2019-02-25 18:50:10,FALSE,NA,"1100105692910940160",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Stiv67685028",56,TRUE,FALSE,NA,NA
