"Eruption Length (min)","Wait Time since Previous Eruption (min)"
4.01666666666667,77
4.21666666666667,89
3.83333333333333,88
4.16666666666667,80
4.2,89
4.35,89
4.16666666666667,97
4.01666666666667,88
4.1,87
4.05,86
4.08333333333333,81
3.65,87
4.48333333333333,94
4.06666666666667,87
4.21666666666667,96
4,91
4.05,77
4.05,86
4.33333333333333,81
4.13333333333333,100
4.33333333333333,81
4.16666666666667,85
4.2,97
4.21666666666667,87
4.18333333333333,93
4.25,91
4.13333333333333,88
4.18333333333333,100
4.18333333333333,78
4.25,85
4.18333333333333,91
4.25,86
2.13333333333333,86
4.66666666666667,87
3.91666666666667,56
4.25,89
4.15,85
3.98333333333333,84
4.13333333333333,96
4.23333333333333,90
4.41666666666667,94
4.01666666666667,82
4.33333333333333,90
3.83333333333333,83
4.25,87
4.25,93
1.06666666666667,86
4.11666666666667,92
4.18333333333333,82
3.93333333333333,98
4.18333333333333,88
4.16666666666667,94
4.2,83
4.2,92
4.05,93
4.1,96
4.05,79
4.46666666666667,99
4,99
4.13333333333333,85
4.35,99
4.2,99
4.41666666666667,86
4.2,82
4.26666666666667,92
4.25,107
4.11666666666667,87
4.03333333333333,84
4.18333333333333,86
4.18333333333333,87
4.13333333333333,80
4.06666666666667,92
4.13333333333333,81
4.06666666666667,91
4.15,89
4.06666666666667,86
4.16666666666667,87
4.05,88
4.26666666666667,90
4.16666666666667,91
4.26666666666667,95
4.03333333333333,86
4.08333333333333,93
2.01666666666667,82
4.03333333333333,95
4.18333333333333,86
4.43333333333333,99
4.1,79
4.33333333333333,83
4.2,89
4.08333333333333,79
3.98333333333333,81
4.35,89
4.2,89
4.21666666666667,92
4.26666666666667,91
4.33333333333333,86
4.23333333333333,86
4.26666666666667,88
4.23333333333333,84
4.15,97
4.11666666666667,86
4.23333333333333,88
4.21666666666667,85
4.28333333333333,99
2.05,94
4.28333333333333,82
4.28333333333333,94
4.4,79
4.06666666666667,83
4.23333333333333,91
3.91666666666667,100
4.25,81
4.13333333333333,97
4.1,77
4.11666666666667,92
4.33333333333333,92
4.13333333333333,97
4.1,76
4.23333333333333,89
4.33333333333333,92
4,105
4.3,92
4.26666666666667,94
4.26666666666667,90
4.26666666666667,85
4.26666666666667,100
4.6,86
4.11666666666667,93
4.1,88
4.23333333333333,77
4.15,97
4.11666666666667,94
4.06666666666667,82
4.18333333333333,104
4.18333333333333,92
4.35,100
4.25,85
4.15,86
4.3,87
4.18333333333333,92
4.18333333333333,92
4.43333333333333,89
4.18333333333333,89
4,81
4.33333333333333,85
4.15,88
4.45,90
4.43333333333333,85
4.3,78
4.31666666666667,93
4.26666666666667,91
4.35,99
4.3,92
4.13333333333333,81
4.01666666666667,96
4.25,89
2,99
4.5,81
4.15,67
4.36666666666667,92
4.25,86
4.26666666666667,96
4.08333333333333,82
4.16666666666667,93
4,81
4.13333333333333,80
4.2,83
4.11666666666667,96
4.1,83
4.16666666666667,83
4.15,85
4.33333333333333,91
4.15,90
4.26666666666667,90
4.16666666666667,93
4.26666666666667,83
4.31666666666667,90
4.41666666666667,92
4.08333333333333,89
3.9,95
4.26666666666667,82
3.91666666666667,93
4.08333333333333,84
4.33333333333333,91
4.3,101
4.28333333333333,100
4.28333333333333,91
4.13333333333333,89
4.06666666666667,84
4.31666666666667,85
3.83333333333333,88
4.25,103
4.18333333333333,92
4.25,96
4.2,84
4.23333333333333,92
4.3,87
3.86666666666667,94
4.18333333333333,87
4.25,94
4.18333333333333,88
4.15,93
4.21666666666667,93
4.25,87
4.08333333333333,91
4.21666666666667,93
4.23333333333333,89
4.08333333333333,88
4.21666666666667,86
4.06666666666667,82
4.23333333333333,90
4.2,91
4.31666666666667,90
4.33333333333333,97
4.26666666666667,94
4.3,94
3.98333333333333,90
4.18333333333333,88
4.33333333333333,95
4.16666666666667,92
4.18333333333333,84
4.16666666666667,95
3.9,80
4.05,89
4.03333333333333,89
4.21666666666667,98
4.16666666666667,93
4.26666666666667,84
4.08333333333333,88
4.15,87
3.75,83
4.16666666666667,93
4.18333333333333,85
4.31666666666667,90
4.11666666666667,98
4.08333333333333,96
4.08333333333333,88
4,87
4.1,81
4.03333333333333,91
4.13333333333333,92
1.83333333333333,96
4.36666666666667,95
4.16666666666667,91
4.25,88
4.06666666666667,85
4.28333333333333,84
4.18333333333333,94
2,91
4.61666666666667,95
4.21666666666667,58
4.2,82
4.16666666666667,95
4.18333333333333,86
4.28333333333333,95
4,91
4.16666666666667,84
4.18333333333333,82
2.21666666666667,98
4.28333333333333,91
4.16666666666667,68
4.26666666666667,83
3.78333333333333,93
4.1,82
3.93333333333333,90
3.95,84
4.36666666666667,108
4.15,85
4.31666666666667,87
4.08333333333333,83
4.26666666666667,96
4.26666666666667,86
4.25,90
4.26666666666667,87
4.08333333333333,101
4.3,94
4.13333333333333,79
4.05,93
4.4,86
4.28333333333333,93
4.2,81
4.26666666666667,93
4.2,89
4.3,93
4.25,85
4.28333333333333,101
4.26666666666667,104
4.15,90
4.3,106
4.06666666666667,90
4.05,91
4.1,89
4.21666666666667,87
4.35,86
4.18333333333333,94
4.33333333333333,86
4.45,87
4.25,96
4.16666666666667,79
4.15,91
4.11666666666667,87
4.35,96
4.26666666666667,86
4.1,84
4.05,100
4.55,92
4.01666666666667,82
4.18333333333333,93
4.1,88
4.13333333333333,94
4.1,82
4.51666666666667,98
4.31666666666667,99
4.2,95
4.08333333333333,91
3.96666666666667,96
4.16666666666667,89
3.91666666666667,80
4.18333333333333,85
4.18333333333333,86
4.15,96
4.16666666666667,97
4.23333333333333,89
4.3,96
4.21666666666667,85
4.2,90
4.31666666666667,90
4.1,89
4.33333333333333,96
4,83
4.41666666666667,95
4.3,100
4.21666666666667,92
4.23333333333333,100
4.13333333333333,87
4.3,93
4.13333333333333,81
4.33333333333333,99
4.25,81
4.45,96
3.91666666666667,88
4.43333333333333,91
4.18333333333333,87
4.41666666666667,92
4.23333333333333,87
4.01666666666667,93
3.96666666666667,82
4.13333333333333,86
4.1,89
4.13333333333333,94
4.11666666666667,98
3.98333333333333,86
4.13333333333333,87
3.66666666666667,94
4.3,95
4.13333333333333,83
4.1,100
4.2,88
4.15,86
4.3,98
4.25,94
4.28333333333333,91
4.23333333333333,84
4.1,92
4.13333333333333,89
4.3,95
4.25,75
4.31666666666667,102
4.15,93
4.25,96
4.2,91
4.08333333333333,81
4.23333333333333,93
3.91666666666667,82
4.28333333333333,87
4.1,96
4.01666666666667,83
4.31666666666667,87
3.91666666666667,87
4.16666666666667,77
4.1,86
3.93333333333333,91
3.98333333333333,86
4.25,89
4.23333333333333,94
4.28333333333333,80
4.2,91
4.25,93
4.16666666666667,68
4.11666666666667,93
4.08333333333333,93
4.25,96
4.26666666666667,92
3.9,86
4.2,93
4.4,87
4.06666666666667,90
4.3,83
4.08333333333333,91
4.15,95
4.16666666666667,83
4.11666666666667,86
4.03333333333333,97
4,81
4.1,83
4.16666666666667,88
4.15,94
3.98333333333333,91
3.83333333333333,86
4.15,88
4.1,93
4.2,93
4.35,87
4.25,93
4.21666666666667,95
4.05,92
4.01666666666667,95
4.13333333333333,91
4.21666666666667,104
4.38333333333333,95
4.25,64
1.78333333333333,96
4.16666666666667,101
4.13333333333333,101
4.5,98
4.01666666666667,91
4.25,83
4.2,93
4.16666666666667,89
4.08333333333333,91
4.5,95
4.2,91
3.98333333333333,98
4.28333333333333,88
4,96
4.26666666666667,93
4.18333333333333,83
4.25,94
3.86666666666667,92
4.08333333333333,98
4.08333333333333,116
4.25,89
4.08333333333333,100
4.1,92
4,90
4.28333333333333,87
3.81666666666667,101
3.83333333333333,79
4.23333333333333,96
4.16666666666667,84
4.51666666666667,84
4.06666666666667,94
3.7,87
4.45,114
3.93333333333333,69
4.33333333333333,94
4.38333333333333,104
4.15,90
4.33333333333333,91
4.25,90
4.33333333333333,97
4.1,90
4.28333333333333,89
4.11666666666667,94
4.28333333333333,84
4.06666666666667,92
4.51666666666667,86
4.48333333333333,95
4.4,113
4.21666666666667,97
4.43333333333333,94
2.1,92
4.6,90
4,91
3.96666666666667,93
4.41666666666667,83
4.01666666666667,97
3.68333333333333,82
4.05,85
4.36666666666667,100
4.13333333333333,89
4.03333333333333,90
4.33333333333333,98
4.35,93
4.13333333333333,96
4.15,102
4.51666666666667,82
4,88
3.91666666666667,82
4.5,95
4.26666666666667,92
4.06666666666667,95
4.15,95
4.28333333333333,111
4.3,100
4.36666666666667,87
4.21666666666667,105
4.23333333333333,89
4.4,96
4.41666666666667,98
4.25,92
4.16666666666667,91
4.26666666666667,91
4.03333333333333,87
4.38333333333333,104
4.43333333333333,86
4.2,102
4.15,91
4.46666666666667,97
4.11666666666667,97
4.08333333333333,96
4.3,92
4.25,90
3.91666666666667,83
4.45,92
4.13333333333333,83
2,89
5.01666666666667,95
2.23333333333333,57
4.15,102
4.01666666666667,72
4.05,89
4.48333333333333,92
4.11666666666667,83
2.16666666666667,99
4.51666666666667,84
4.26666666666667,69
4.01666666666667,98
4.13333333333333,81
4.35,92
4.28333333333333,89
4.48333333333333,116
4.5,97
4.08333333333333,81
4.38333333333333,93
4.1,93
4.5,91
4.41666666666667,87
4.13333333333333,88
4,90
4.01666666666667,94
4.31666666666667,84
4.46666666666667,103
3.95,83
4.13333333333333,69
4.15,89
4.51666666666667,89
4.56666666666667,103
4.3,82
4.16666666666667,97
3.93333333333333,83
1.83333333333333,99
4.33333333333333,91
4.06666666666667,60
4.18333333333333,99
4.16666666666667,83
4.4,92
4.28333333333333,89
2.01666666666667,85
3.93333333333333,87
4.06666666666667,87
4.38333333333333,104
1.88333333333333,87
4.53333333333333,99
4.1,61
4.5,100
3.98333333333333,89
4.1,107
4.15,78
4.15,97
4.48333333333333,86
4.13333333333333,93
4.23333333333333,94
4.03333333333333,83
4,105
4.1,90
3.95,89
3.98333333333333,83
4.18333333333333,107
1.93333333333333,82
4.66666666666667,86
4.35,61
4.16666666666667,127
4.11666666666667,87
4.66666666666667,102
4.5,95
4.1,93
4.3,107
4.01666666666667,84
4.25,93
4.11666666666667,91
4.11666666666667,87
4.21666666666667,100
4.01666666666667,88
4.01666666666667,99
4,86
3.78333333333333,98
4.33333333333333,87
4,91
4.3,98
4.1,99
4.31666666666667,94
4.16666666666667,88
4,94
4.01666666666667,84
4.16666666666667,94
4,99
4.1,88
4.05,86
2.01666666666667,93
4.08333333333333,85
4.08333333333333,55
4.46666666666667,111
4.48333333333333,99
4.2,97
4.3,83
3.78333333333333,87
4.38333333333333,93
4.18333333333333,90
4.08333333333333,102
4.16666666666667,107
4.1,95
4.13333333333333,88
3.98333333333333,90
4.31666666666667,101
4.13333333333333,95
4.25,106
4.33333333333333,82
4.16666666666667,88
4.23333333333333,89
3.88333333333333,82
4.35,87
4.13333333333333,89
4.05,92
4.2,96
4.18333333333333,98
4.3,84
4.2,85
4.15,95
4.21666666666667,93
4.15,91
4.16666666666667,91
4.21666666666667,81
4.28333333333333,95
2,88
4.5,85
4.08333333333333,62
4.01666666666667,103
4.15,97
1.98333333333333,85
4.25,93
4.06666666666667,57
4.03333333333333,110
4.2,83
4.08333333333333,93
4.25,96
2.2,88
4.51666666666667,87
3.88333333333333,61
4.16666666666667,98
4.11666666666667,84
4.11666666666667,91
4.4,87
3.86666666666667,89
3.93333333333333,92
4.21666666666667,83
4.38333333333333,92
4.31666666666667,96
